Source_row,中文名,学名,省份,引用,原搁置原因,建议裁定,置信度,裁定依据
599,圆鼻巨蜥,Varanus salvator,海南,刘大业、薛少亮、曾治高、颜文博、梁春生、莫世琴、蔡海洪、杜鹍鹏 (2022) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.202205020,记录类型无法判定（原表未标注且引用无线索）,待人工复核-未能在线定性,需人工,文献类型未能在线确认，建议查网盘原文（新纪录报道→事件表；调查/分类文→排除）
609,太行山费氏蛙,Feirana taihangnica,陕西、山西、河南,Xin YANG and Bin WANG and Junhua HU and Jianping JIANG (2011). A New Species of the Genus Feirana (Amphibia: A,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
611,太行山费氏蛙,Feirana taihangnica,陕西、山西、河南,Xin YANG and Bin WANG and Junhua HU and Jianping JIANG (2011). A New Species of the Genus Feirana (Amphibia: A,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
614,百山祖角蟾,Boulenophrys baishanzuensis,,赵玉瑞、朱滨清、高朔、王乐、吴延庆 (2023) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.202304013,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
615,河口壁虎,Gekko hokouensis,安徽、河南、湖北,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
617,多疣壁虎,Gekko japonicus,安徽、河南、湖北,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
618,大壁虎,Gekko gecko,,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
619,南蹼趾壁虎,Gekko palmatus,广西,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
623,河口壁虎,Gekko hokouensis,安徽、河南、湖北,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
624,多疣壁虎,Gekko japonicus,安徽、河南、湖北,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
625,大壁虎,Gekko gecko,,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
637,楚雄蓝尾蝾螈,Cynops cyanurus chuxiongensis,云南,nan,记录类型无法判定（原表未标注且引用无线索）,待溯源-无引用信息,需人工,该行无文献引用，无法验证记录性质；请补充来源后再判定（建议查网盘合并前原始表）
638,山井疣螈,Tylototriton shanjing,,nan,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
639,红瘰疣螈,Tylototriton verrucosus,,nan,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
640,西伯利亚北鲵,Ranodon sibiricus,,nan,记录类型无法判定（原表未标注且引用无线索）,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
646,南蹼趾壁虎,Gekko palmatus,广西,Caiwen Zhang and Afang Wu and Bo Cai and Lanrong Wang and Dapeng Pang and Haohao Ma and Lei Yu and Xiangyang L,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
665,,Hebius taronensis,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
667,,Hebius venningi,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
668,坡普腹链蛇,Hebius popei,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
669,黑带腹链蛇,Hebius bitaeniatus,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
670,维西腹链蛇,Hebius weixiensis,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
671,,Hebius andreae,,Yu-Hao Xu and Dian-Cheng Yang and Yan-An Gong and Kai-Chen Ouyang and Shi-Yang Weng and Jun-Dong Deng and Song,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
677,黑瘰螈,Tylototriton asperrimus,中国广西、越南和平,KANTO NISHIKAWA and MASAFUMI MATSUI and TAO THIEN NGUYEN (2013). A New Species of Tylototriton from Northern V,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
683,十万大山掌突蟾,Leptobrachella shiwandashanensis,广西,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura,",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
684,凉山瘰螈,Tylototriton taliangensis,,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Sala",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
686,棕黑疣螈,Tylototriton verrucosus,,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Sala",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
687,南部瘰螈,Tylototriton notialis,,"Youhui SHEN and Jianping JIANG and Xiaoyang MO (2012). A New Species of the Genus Tylototriton (Amphibia, Sala",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
689,十万大山掌突蟾,Leptobrachella shiwandashanensis,广东,"Wei-Cai Chen and Yong-Jian Bei and Peng Li (2025). A new species of the genus Leptobrachella (Amphibia, Anura,",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
695,瓦氏龙蜥,Diploderma varcoae,,Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi c,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
696,黄头龙蜥,Diploderma flaviceps,,Unknown Author (2019). A new species of Mountain Dragon (Reptilia: Agamidae: Diploderma) from the D. dymondi c,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
699,,Leptobrachella yunkaiensis,广东,Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
702,,Leptobrachella yunkaiensis,广东,Qi-Qi Zhang and Shi-Shi Lin and Yuan-Hang Li and Hong-Lin Su and Hong-Hui Chen and Xiu-Yu Zhang and Zhao-Chi Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
705,,Leptobrachella yunkaiensis,广东,Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
706,织金瘰螈,Paramesotriton zhijinensis,,"李松、田应洲、谷晓明、熊荣川 (2008). 瘰螈属一新种——龙里瘰螈(有尾目:蝾螈科) 动物学研究, 29(3), 313-317 https://doi.org/10.3724/SP.J.1141.2008.0331",新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
709,峨眉湍蛙,Amolops mantzorum,,Liang Fei and Chang-Yuan Ye and Yu-Fan Wang and Ke Jiang (2017). A new species of the genus Amolops (Anura: Ra,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
710,,Leptobrachella liui,,Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
713,,Leptobrachella mangshanensis,,Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
715,,Leptobrachella wulingensis,,Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
717,,Leptobrachella zhangyapingi,,Shi-Shi Lin and Yuan-Hang Li and Yu-Hong Lu and Hong-Lin Su and Shi-Bin Wu and Qi-Qi Zhang and Mei-Juan Mo and,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
724,高山舌突蛙,Liurana alpina,西藏,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
725,墨脱舌突蛙,Liurana medogensis,西藏,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
728,西藏舌突蛙,Liurana xizangensis,西藏,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
729,河谷舌突蛙,Liurana vallecula,西藏,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
730,,Liurana himalayana,,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
731,,Liurana indica,,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
732,,Liurana minuta,,Haoqi YU and Yiheng LIN and Yuxi WANG and Puyang ZHENG and Shengchao SHI and Bin WANG and Jianping JIANG and Z,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
736,福清链蛇,Lycodon futsingensis,广东,Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
737,黑背链蛇,Lycodon ruhstrati,广西,Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
738,,Lycodon namdongensis,,Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
739,,Lycodon sealei,,Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
740,,Lycodon striatus,,Jian Wang and Shuo Qi and Zhi-Tong Lyu and Zhao-Chi Zeng and Ying-Yong Wang (2020). A new species of the genus,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
744,瘤岩蜥,Laudakia tuberculata,西藏,Er-mi Zhao (1998). DESCRIPTION OF A NEW SPECIES OF THE GENUS Laudakia FROM XIZANG (TIBET) (Sauria: Agamidae) 动,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
749,北仑姬蛙,Microhyla beilunensis,浙江,Caiwen Zhang and Cheng Chen and Meihua Zhang and Zhiyue Wang and Haohao Ma and Ruolei Sun and Jianping Jiang a,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
750,,Microhyla fanjinshanensis,贵州,Caiwen Zhang and Cheng Chen and Meihua Zhang and Zhiyue Wang and Haohao Ma and Ruolei Sun and Jianping Jiang a,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
751,合征姬蛙,Microhyla mixtura,安徽,Caiwen Zhang and Cheng Chen and Meihua Zhang and Zhiyue Wang and Haohao Ma and Ruolei Sun and Jianping Jiang a,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
752,饰纹姬蛙,Microhyla fissipes,安徽,Caiwen Zhang and Cheng Chen and Meihua Zhang and Zhiyue Wang and Haohao Ma and Ruolei Sun and Jianping Jiang a,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
760,,Ovophis convictus,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
761,台湾烙铁头蛇,Ovophis makazayazaya,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
763,越南烙铁头蛇,Ovophis tonkinensis,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
765,察隅烙铁头蛇,Ovophis zayuensis,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
766,屏边烙铁头蛇,Ovophis anitae,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
767,盈江烙铁头蛇,Ovophis jenkinsi,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
768,,Trimeresurus okinavensis,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
769,台湾竹叶青蛇,Trimeresurus gracilis,,Shuo Liu and Mian Hou and Mingzhong Mo and Mei Li and Biao Li and Xiong Luo and Dingqi Rao and Song Li (2024).,新种描述文献中的伴随物种记录，非明确新纪录事件,A3 排除-无省份且无坐标,高,无省级归属信息，无法构成省级事件
770,香港瘰螈,Paramesotriton hongkongensis,香港、贵州,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
771,中国瘰螈,Paramesotriton chinensis,广西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
772,富钟瘰螈,Paramesotriton fuzhongensis,广西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
773,平胸龟,Platysternon megacephalum,,Qian-Ru Liang and Jia-Xuan Li and Yan Ge and Jun-Man Ou and You-Qiang Yin and Chatmongkon Suwannapoom and Minh,新种描述文献中的伴随物种记录，非明确新纪录事件,B7 坐标在境内可反推省份,中,无省份但坐标在境内；反推省份后按其文献类型处理（多为伴随→排除）
774,缅甸平胸龟,Platysternon peguense,勃固,Qian-Ru Liang and Jia-Xuan Li and Yan Ge and Jun-Man Ou and You-Qiang Yin and Chatmongkon Suwannapoom and Minh,新种描述文献中的伴随物种记录，非明确新纪录事件,C 排除-记录地为国外省区,高,省份为国外行政区
776,广西瘰螈,Paramesotriton guangxiensis,广西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
777,无斑瘰螈,Paramesotriton labiatus,广西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A1/B1 排除-同种同省已收录(再记录),高,同种同省组合已由更早/已收录文献建立，本行为再记录
778,肥螈,Pachytriton brevipes,江西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
780,广西瘰螈,Paramesotriton guangxiensis,广西,ZHIYONG YUAN and YUNKE WU and JIAJUN ZHOU & JING CHE (2016). A new species of the genus Paramesotriton (Caudat,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
781,安氏钝头蛇,Pareas andersonii,云南,"Shuo Liu & Dingqi Rao (2021). A new species of the genus Pareas (Squamata, Pareidae) from Yunnan, China ZooKey",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
782,泰雅钝头蛇,Pareas atayal,云南,"Shuo Liu & Dingqi Rao (2021). A new species of the genus Pareas (Squamata, Pareidae) from Yunnan, China ZooKey",新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
784,黑龙江林蛙,Rana amurensis,黑龙江,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
785,中亚林蛙,Rana asiatica,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
786,田野林蛙,Rana arvalis,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
788,黑龙江林蛙,Rana amurensis,黑龙江,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
789,中亚林蛙,Rana asiatica,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
790,田野林蛙,Rana arvalis,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
793,黑龙江林蛙,Rana amurensis,黑龙江,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
794,中亚林蛙,Rana asiatica,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
795,田野林蛙,Rana arvalis,新疆,Haipeng Zhao and Junxiao Yang and Chunping Wang and Pipeng Li and Robert W. Murphy and Jing Che and Zhiyong Yu,新种描述文献中的伴随物种记录，非明确新纪录事件,A4 排除(建议)-伴随物种记录,高-政策项,新种/分类文献中的伴随物种记录，无新纪录声明（与CBNR排除规则一致）；证据完备者可选保留为occurrence
